id,filename,stem,path,dataset,embedding_dim
0,000010_v0.pt,000010,../data/augmented_spectrograms/train/000010_v0.pt,train,256
1,000140_v0.pt,000140,../data/augmented_spectrograms/train/000140_v0.pt,train,256
2,000141_v0.pt,000141,../data/augmented_spectrograms/train/000141_v0.pt,train,256
3,000148_v0.pt,000148,../data/augmented_spectrograms/train/000148_v0.pt,train,256
4,000182_v0.pt,000182,../data/augmented_spectrograms/train/000182_v0.pt,train,256
5,000190_v0.pt,000190,../data/augmented_spectrograms/train/000190_v0.pt,train,256
6,000194_v0.pt,000194,../data/augmented_spectrograms/train/000194_v0.pt,train,256
7,000197_v0.pt,000197,../data/augmented_spectrograms/train/000197_v0.pt,train,256
8,000200_v0.pt,000200,../data/augmented_spectrograms/train/000200_v0.pt,train,256
9,000203_v0.pt,000203,../data/augmented_spectrograms/train/000203_v0.pt,train,256
10,000207_v0.pt,000207,../data/augmented_spectrograms/train/000207_v0.pt,train,256
11,000210_v0.pt,000210,../data/augmented_spectrograms/train/000210_v0.pt,train,256
12,000211_v0.pt,000211,../data/augmented_spectrograms/train/000211_v0.pt,train,256
13,000255_v0.pt,000255,../data/augmented_spectrograms/train/000255_v0.pt,train,256
14,000256_v0.pt,000256,../data/augmented_spectrograms/train/000256_v0.pt,train,256
15,000368_v0.pt,000368,../data/augmented_spectrograms/train/000368_v0.pt,train,256
16,000459_v0.pt,000459,../data/augmented_spectrograms/train/000459_v0.pt,train,256
17,000534_v0.pt,000534,../data/augmented_spectrograms/train/000534_v0.pt,train,256
18,000540_v0.pt,000540,../data/augmented_spectrograms/train/000540_v0.pt,train,256
19,000546_v0.pt,000546,../data/augmented_spectrograms/train/000546_v0.pt,train,256
20,000574_v0.pt,000574,../data/augmented_spectrograms/train/000574_v0.pt,train,256
21,000602_v0.pt,000602,../data/augmented_spectrograms/train/000602_v0.pt,train,256
22,000615_v0.pt,000615,../data/augmented_spectrograms/train/000615_v0.pt,train,256
23,000620_v0.pt,000620,../data/augmented_spectrograms/train/000620_v0.pt,train,256
24,000621_v0.pt,000621,../data/augmented_spectrograms/train/000621_v0.pt,train,256
25,000625_v0.pt,000625,../data/augmented_spectrograms/train/000625_v0.pt,train,256
26,000666_v0.pt,000666,../data/augmented_spectrograms/train/000666_v0.pt,train,256
27,000667_v0.pt,000667,../data/augmented_spectrograms/train/000667_v0.pt,train,256
28,000676_v0.pt,000676,../data/augmented_spectrograms/train/000676_v0.pt,train,256
29,000690_v0.pt,000690,../data/augmented_spectrograms/train/000690_v0.pt,train,256
30,000694_v0.pt,000694,../data/augmented_spectrograms/train/000694_v0.pt,train,256
